Time UTC (yyyy-mm-ddThh:mm:ss.fffZ),Conductivity (S/m),Density (kg/m3),Error Code (NA),External pH (Dynamic Salinity) (pH),FET External Voltage (V),Instrument Clock (Gregorian days since 19700101T000000Z),Internal Humidity (%),Internal Temperature (C),Oxygen Concentration Corrected (ml/l),Practical Salinity (psu),Pressure (decibar),Sigma-t (kg/m3),Sigma-theta (0 dbar) (kg/m3),Sound Speed (m/s),Temperature (C)
2025-02-13T18:06:37.867Z,2.73354,1026.022075,0,7.744,-0.895354,20132.25453,0.5,0.9,5.254,31.9708,82.849,25.62730346,25.62746746,1449.602626,0.6916
2025-02-13T18:08:37.864Z,2.73334,1026.023507,0,7.744,-0.895361,20132.25591,0.5,1,5.256,31.9724,82.83,25.62881696,25.62898062,1449.585323,0.6874
2025-02-13T18:10:37.863Z,2.73322,1026.023465,0,7.7439,-0.895366,20132.2573,0.5,0.9,5.26,31.9723,82.824,25.62880105,25.6289646,1449.579629,0.6862
2025-02-13T18:12:37.863Z,2.73318,1026.023178,0,7.7439,-0.895367,20132.25869,0.5,1,5.261,31.9719,82.83,25.62848457,25.62864811,1449.578739,0.6861
2025-02-13T18:14:37.863Z,2.73318,1026.023131,0,7.7435,-0.89539,20132.26008,0.5,1,5.262,31.9718,82.837,25.6284041,25.62856766,1449.57872,0.6861
2025-02-13T18:16:37.863Z,2.73317,1026.023246,0,7.7431,-0.895412,20132.26147,0.5,1,5.261,31.972,82.824,25.62858117,25.62874468,1449.577409,0.6858
2025-02-13T18:18:37.863Z,2.73317,1026.023279,0,7.7424,-0.895446,20132.26286,0.5,1,5.262,31.9719,82.849,25.62849532,25.62865889,1449.578137,0.6859
2025-02-13T18:20:37.863Z,2.73319,1026.023101,0,7.7422,-0.89546,20132.26425,0.5,1,5.261,31.9716,82.868,25.62822704,25.62839068,1449.580323,0.6864
2025-02-13T18:22:37.863Z,2.73318,1026.023732,0,7.7432,-0.895402,20132.26564,0.5,0.9,5.263,31.9722,82.891,25.62874748,25.62891112,1449.578306,0.6857
2025-02-13T18:24:37.863Z,2.73319,1026.023392,0,7.7437,-0.895377,20132.26703,0.5,1,5.264,31.9718,82.893,25.62839872,25.6285624,1449.580084,0.6862
2025-02-13T18:26:37.863Z,2.73348,1026.022042,0,7.743,-0.895412,20132.26841,0.5,1,5.266,31.9705,82.887,25.62708899,25.62725302,1449.600568,0.6911
2025-02-13T18:28:37.862Z,2.73376,1026.023398,0,7.7433,-0.895393,20132.2698,0.5,1,5.267,31.9722,82.906,25.62835991,25.62852416,1449.61133,0.6929
2025-02-13T18:30:37.863Z,2.7338,1026.021955,0,7.7434,-0.895384,20132.27119,0.5,1,5.262,31.9705,82.916,25.62687349,25.6270379,1449.619248,0.6951
2025-02-13T18:32:38.112Z,2.73366,1026.023203,0,7.7425,-0.895436,20132.27258,0.5,1,5.263,31.972,82.887,25.62825286,25.62841698,1449.606204,0.6919
2025-02-13T18:34:37.868Z,2.73339,1026.023046,0,7.7438,-0.895369,20132.27397,0.5,1,5.261,31.9717,82.868,25.62817837,25.62834221,1449.591383,0.6888
2025-02-13T18:36:37.863Z,2.73329,1026.023196,0,7.7448,-0.895315,20132.27536,0.5,1,5.267,31.9718,82.866,25.62833417,25.62849789,1449.585109,0.6874
2025-02-13T18:38:37.863Z,2.73323,1026.023302,0,7.7445,-0.895335,20132.27675,0.5,1,5.269,31.9719,82.862,25.62845767,25.62862132,1449.581535,0.6866
2025-02-13T18:40:37.862Z,2.73335,1026.022554,0,7.7446,-0.895327,20132.27814,0.5,1,5.266,31.9712,82.849,25.62777605,25.62793984,1449.59041,0.6888
2025-02-13T18:42:37.862Z,2.73325,1026.023453,0,7.7451,-0.895298,20132.27953,0.5,1,5.267,31.9722,82.843,25.62869907,25.62886269,1449.581625,0.6866
2025-02-13T18:44:37.867Z,2.73323,1026.02313,0,7.7455,-0.895276,20132.28091,0.5,1,5.269,31.9717,82.862,25.62828599,25.62844965,1449.58218,0.6868
2025-02-13T18:46:37.867Z,2.73329,1026.022976,0,7.7452,-0.895295,20132.2823,0.5,1,5.271,31.9715,82.874,25.62807664,25.62824039,1449.586206,0.6877
2025-02-13T18:48:37.863Z,2.73316,1026.023232,0,7.7455,-0.895278,20132.28369,0.5,1,5.27,31.9717,82.874,25.62832902,25.62849264,1449.578732,0.686
2025-02-13T18:50:37.862Z,2.7332,1026.023214,0,7.7455,-0.895279,20132.28508,0.5,1,5.265,31.9716,82.893,25.62822166,25.62838536,1449.581184,0.6865
2025-02-13T18:52:38.362Z,2.73321,1026.023117,0,7.7454,-0.895284,20132.28648,0.5,0.9,5.266,31.9714,82.91,25.62804459,25.62820834,1449.58256,0.6868
2025-02-13T18:54:37.867Z,2.7336,1026.023816,0,7.7459,-0.895256,20132.28786,0.5,1,5.264,31.9726,82.899,25.62880565,25.6289697,1449.601277,0.6906
2025-02-13T18:56:37.863Z,2.73347,1026.023147,0,7.7456,-0.89527,20132.28925,0.5,0.9,5.266,31.9717,82.901,25.62812455,25.62828853,1449.596471,0.6898
2025-02-13T18:58:38.116Z,2.73337,1026.022842,0,7.7461,-0.895246,20132.29064,0.5,1,5.265,31.9712,82.912,25.62776529,25.62792922,1449.592343,0.689
2025-02-13T19:00:37.863Z,2.7332,1026.023643,0,7.7456,-0.895272,20132.29203,0.5,1,5.262,31.972,82.912,25.62855965,25.62872337,1449.580658,0.6862
2025-02-13T19:02:37.867Z,2.7332,1026.023381,0,7.7461,-0.895246,20132.29341,0.5,1,5.262,31.9717,82.91,25.6283075,25.62847123,1449.581137,0.6864
2025-02-13T19:04:37.862Z,2.73316,1026.024048,0,7.746,-0.895253,20132.2948,0.5,0.9,5.266,31.9723,82.937,25.62884407,25.62900779,1449.577819,0.6854
2025-02-13T19:06:37.863Z,2.73316,1026.023796,0,7.7454,-0.895284,20132.29619,0.5,1,5.265,31.972,82.937,25.62859192,25.62875565,1449.578331,0.6856
2025-02-13T19:08:37.862Z,2.73315,1026.023605,0,7.7465,-0.895226,20132.29758,0.5,1,5.268,31.9716,82.968,25.62825393,25.62841773,1449.579669,0.6859
2025-02-13T19:10:37.863Z,2.73313,1026.024079,0,7.7463,-0.895238,20132.29897,0.5,0.9,5.27,31.9721,82.975,25.6286939,25.62885767,1449.57726,0.6852
2025-02-13T19:12:37.867Z,2.7331,1026.024073,0,7.7458,-0.895261,20132.30036,0.5,1,5.269,31.972,82.987,25.62862956,25.62879333,1449.575955,0.6849
2025-02-13T19:14:37.862Z,2.7331,1026.02437,0,7.7458,-0.895264,20132.30175,0.5,1,5.269,31.9722,83.012,25.62880662,25.62897042,1449.575261,0.6846
2025-02-13T19:16:37.863Z,2.73309,1026.024787,0,7.7466,-0.89522,20132.30314,0.5,1,5.267,31.9726,83.025,25.62916074,25.62932453,1449.573271,0.684
2025-02-13T19:18:37.863Z,2.73309,1026.024639,0,7.7471,-0.895191,20132.30453,0.5,1,5.27,31.9725,83.012,25.6290749,25.62923867,1449.573383,0.6841
2025-02-13T19:20:37.867Z,2.73307,1026.024764,0,7.7468,-0.895212,20132.30591,0.5,1,5.266,31.9726,83.019,25.62916612,25.62932988,1449.572719,0.6839
2025-02-13T19:22:37.862Z,2.73306,1026.024712,0,7.7469,-0.895204,20132.3073,0.5,1,5.268,31.9724,83.042,25.62900519,25.62916899,1449.572826,0.6839
2025-02-13T19:24:37.862Z,2.73306,1026.02498,0,7.7463,-0.895236,20132.30869,0.5,1,5.267,31.9726,83.062,25.62917687,25.6293407,1449.572506,0.6837
2025-02-13T19:26:38.116Z,2.73307,1026.02464,0,7.7469,-0.895204,20132.31008,0.5,1,5.269,31.9723,83.046,25.62891397,25.6290778,1449.573669,0.6841
2025-02-13T19:28:37.862Z,2.73309,1026.02459,0,7.7466,-0.89522,20132.31147,0.5,0.9,5.269,31.9722,83.056,25.62881738,25.62898125,1449.575064,0.6844
2025-02-13T19:30:37.861Z,2.73312,1026.024935,0,7.7466,-0.895219,20132.31286,0.5,1,5.271,31.9726,83.062,25.62913386,25.62929776,1449.576148,0.6845
2025-02-13T19:32:37.867Z,2.73308,1026.024887,0,7.7457,-0.895267,20132.31425,0.5,1,5.273,31.9724,83.081,25.62899444,25.62915834,1449.574369,0.6841
2025-02-13T19:34:37.862Z,2.73307,1026.025093,0,7.7463,-0.895237,20132.31564,0.5,1,5.269,31.9727,83.069,25.62925734,25.62942119,1449.572752,0.6837
2025-02-13T19:36:37.862Z,2.73304,1026.024967,0,7.7463,-0.895235,20132.31703,0.5,1,5.264,31.9725,83.075,25.62910178,25.62926563,1449.572128,0.6836
2025-02-13T19:38:37.862Z,2.7331,1026.024956,0,7.7465,-0.895224,20132.31841,0.5,1,5.269,31.9725,83.081,25.62906415,25.62922807,1449.575413,0.6843
2025-02-13T19:40:37.867Z,2.73363,1026.02383,0,7.7462,-0.895238,20132.3198,0.5,1,5.267,31.9717,83.067,25.62802224,25.62818671,1449.607815,0.6917
2025-02-13T19:42:37.862Z,2.73478,1026.018398,0,7.7462,-0.895216,20132.32119,0.5,1,5.266,31.9662,83.088,25.62253344,25.62269942,1449.690512,0.7114
2025-02-13T19:44:37.862Z,2.7336,1026.024344,0,7.7463,-0.895232,20132.32258,0.5,1,5.263,31.9722,83.081,25.62846764,25.62863208,1449.605065,0.6909
2025-02-13T19:46:37.866Z,2.73329,1026.024693,0,7.7467,-0.895216,20132.32397,0.5,1,5.267,31.9725,83.054,25.62893508,25.62909914,1449.585903,0.6867
2025-02-13T19:48:37.862Z,2.73309,1026.025105,0,7.7468,-0.895209,20132.32536,0.5,1,5.268,31.9727,83.075,25.62924121,25.62940509,1449.574215,0.684
2025-02-13T19:50:37.862Z,2.73308,1026.025426,0,7.7462,-0.895245,20132.32675,0.5,1,5.27,31.9731,83.069,25.62958995,25.62975379,1449.572373,0.6835
2025-02-13T19:52:38.110Z,2.73303,1026.02535,0,7.7475,-0.895171,20132.32814,0.5,1,5.272,31.9727,83.117,25.62928421,25.62944812,1449.571254,0.6832
2025-02-13T19:54:37.862Z,2.73241,1026.026915,0,7.7468,-0.895218,20132.32953,0.5,1,5.247,31.9741,83.102,25.63089931,25.63106248,1449.53143,0.6741
2025-02-13T19:56:37.862Z,2.73231,1026.028524,0,7.7474,-0.895187,20132.33091,0.5,1,5.222,31.9757,83.138,25.63233156,25.63249463,1449.521843,0.6714
2025-02-13T19:58:37.861Z,2.73249,1026.027861,0,7.7471,-0.895204,20132.3323,0.5,1,5.222,31.975,83.15,25.63161816,25.63178146,1449.533861,0.6742
2025-02-13T20:00:37.862Z,2.73265,1026.026725,0,7.7468,-0.895216,20132.33369,0.5,1,5.223,31.9737,83.171,25.63038966,25.63055324,1449.547958,0.6776
2025-02-13T20:02:37.866Z,2.73264,1026.0271,0,7.7465,-0.895231,20132.33508,0.5,1,5.23,31.9741,83.175,25.63074373,25.63090728,1449.545822,0.677
2025-02-13T20:04:37.861Z,2.73276,1026.027335,0,7.7465,-0.895232,20132.33647,0.5,1,5.227,31.9744,83.188,25.63092072,25.6310844,1449.551897,0.6782
2025-02-13T20:06:37.866Z,2.7327,1026.027227,0,7.7465,-0.895234,20132.33786,0.5,0.9,5.226,31.9743,83.175,25.63087246,25.63103607,1449.54882,0.6776
2025-02-13T20:08:37.862Z,2.73264,1026.026961,0,7.7454,-0.895289,20132.33925,0.5,1,5.227,31.9739,83.182,25.63057206,25.63073564,1449.546581,0.6772
2025-02-13T20:10:37.862Z,2.73262,1026.027025,0,7.7462,-0.895248,20132.34064,0.5,1,5.226,31.9741,83.157,25.63075446,25.63091796,1449.544619,0.6768
2025-02-13T20:12:37.866Z,2.73277,1026.026834,0,7.7459,-0.895261,20132.34203,0.5,1,5.224,31.9741,83.138,25.63065785,25.63082145,1449.552508,0.6786
2025-02-13T20:14:37.866Z,2.7328,1026.027208,0,7.7452,-0.895299,20132.34341,0.5,1,5.224,31.9746,83.131,25.63106555,25.63122915,1449.552604,0.6785
2025-02-13T20:16:37.862Z,2.73272,1026.026872,0,7.7453,-0.895294,20132.3448,0.5,0.9,5.226,31.974,83.157,25.63060422,25.63076782,1449.550407,0.6781
2025-02-13T20:18:37.866Z,2.73252,1026.027895,0,7.7455,-0.895287,20132.34619,0.5,1,5.226,31.975,83.163,25.63159134,25.63175471,1449.536349,0.6747
2025-02-13T20:20:38.110Z,2.7326,1026.027682,0,7.7448,-0.895323,20132.34758,0.5,1,5.226,31.9748,83.165,25.6313714,25.63153485,1449.541125,0.6758
2025-02-13T20:22:37.861Z,2.73267,1026.027508,0,7.745,-0.895312,20132.34897,0.5,1,5.233,31.9745,83.192,25.63107097,25.63123456,1449.546174,0.6769
2025-02-13T20:24:37.861Z,2.73265,1026.027448,0,7.7451,-0.89531,20132.35036,0.5,1,5.232,31.9744,83.194,25.63100123,25.63116481,1449.545163,0.6767
2025-02-13T20:26:37.861Z,2.73268,1026.027682,0,7.7451,-0.895308,20132.35175,0.5,0.9,5.236,31.9746,83.213,25.63114607,25.63130971,1449.547103,0.677
2025-02-13T20:28:37.866Z,2.73274,1026.027524,0,7.7442,-0.895356,20132.35314,0.5,1,5.236,31.9742,83.259,25.63077052,25.63093433,1449.551872,0.678
2025-02-13T20:30:37.865Z,2.73274,1026.027342,0,7.744,-0.895366,20132.35453,0.5,1,5.238,31.974,83.257,25.63059885,25.63076266,1449.552485,0.6782
2025-02-13T20:32:37.866Z,2.73278,1026.027118,0,7.745,-0.895311,20132.35591,0.5,0.9,5.238,31.9737,83.27,25.6303145,25.6304784,1449.55594,0.679
2025-02-13T20:34:37.866Z,2.73278,1026.027204,0,7.7445,-0.895336,20132.3573,0.5,1,5.243,31.9737,83.288,25.6303145,25.63047843,1449.556232,0.679
